VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[2.  1.5 1. ]
POINST TOTAL =  1408 Point Range =  88
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1408 swtcnt: 1
Measurement time: 0.804 s
PAT:  00000000000000000000000000000000000000000000000d8d0fcd1e8f0f7e06 POW MAX:  -66.40031462449294
PAT:  00000000000000000000000000000000000000000000008d8d0fcd1e8f0f7e06 POW MAX:  -66.21872359055739
PAT:  00000000000000000000000000000000000000000000058d8d0fcd1e8f0f7e06 POW MAX:  -65.78170570960411
PAT:  00000000000000000000000000000000000000000000b58d8d0fcd1e8f0f7e06 POW MAX:  -65.86073391254132
PAT:  0000000000000000000000000000000000000000000eb58d8d0fcd1e8f0f7e06 POW MAX:  -65.52787516667293
PAT:  0000000000000000000000000000000000000000000eb58d8d0fcd1e8f0f7e06 POW MAX:  -66.08718519944411
PAT:  0000000000000000000000000000000000000000060eb58d8d0fcd1e8f0f7e06 POW MAX:  -65.13072703434871
PAT:  0000000000000000000000000000000000000000060eb58d8d0fcd1e8f0f7e06 POW MAX:  -65.34678151057317
PAT:  0000000000000000000000000000000000000009060eb58d8d0fcd1e8f0f7e06 POW MAX:  -64.88878279465895
PAT:  0000000000000000000000000000000000000019060eb58d8d0fcd1e8f0f7e06 POW MAX:  -65.40693195049579
PAT:  0000000000000000000000000000000000000f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -64.66839394202599
PAT:  0000000000000000000000000000000000008f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -64.70850460345929
PAT:  00000000000000000000000000000000000e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -63.75101074805627
PAT:  00000000000000000000000000000000001e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -63.656393197866585
PAT:  000000000000000000000000000000000e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -63.165280415461616
PAT:  000000000000000000000000000000008e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -63.07766532897949
PAT:  0000000000000000000000000000000c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -62.40100068312425
PAT:  0000000000000000000000000000001c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -62.55795097351074
PAT:  00000000000000000000000000000d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -62.090776443481445
PAT:  00000000000000000000000000008d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -62.05999550452599
PAT:  000000000000000000000000000e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -61.751360819889946
PAT:  000000000000000000000000001e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -61.8296259366549
PAT:  0000000000000000000000000f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -61.50638389587402
PAT:  0000000000000000000000007f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -61.36615958580604
PAT:  00000000000000000000000f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -61.36459453289326
PAT:  00000000000000000000008f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -61.301033166738655
PAT:  000000000000000000000e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -60.99476623535156
PAT:  000000000000000000008e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -60.954171694242035
PAT:  0000000000000000000f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -60.35450597909781
PAT:  0000000000000000000f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -60.29049917367789
PAT:  00000000000000000f0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.982189471905045
PAT:  0000000000000000cf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.83936823331393
PAT:  000000000000000fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.437230770404526
PAT:  000000000000000fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.418388219980095
PAT:  0000000000000d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.32280188340407
PAT:  0000000000008d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.29208520742563
PAT:  00000000000e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.02711956317608
PAT:  00000000008e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -59.03771767249474
PAT:  000000000f8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.83885838435246
PAT:  00000000bf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.7268932049091
PAT:  0000000fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.39181445195125
PAT:  0000007fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.422741229717545
PAT:  0000077fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.6251942561223
PAT:  0000c77fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.43970856299767
PAT:  000ec77fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.097917116605316
PAT:  001ec77fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -58.05799939082219
PAT:  061ec77fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -57.78216552734375
PAT:  861ec77fbf8e8d0fcf0f8e8f7f1e8d1c8e1e8f19060eb58d8d0fcd1e8f0f7e06 POW MAX:  -57.725115702702446
POINST TOTAL =  704 Point Range =  44
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 704 swtcnt: 1
Measurement time: 0.452 s
PAT:  000000000000000000000000000000000000000000000000000000000000000e POW MAX:  -74.67217063903809
PAT:  000000000000000000000000000000000000000000000000000000000000000e POW MAX:  -74.22166601816814
PAT:  0000000000000000000000000000000000000000000000000000000000000d0e POW MAX:  -73.27549902598064
PAT:  0000000000000000000000000000000000000000000000000000000000007d0e POW MAX:  -73.83587551116943
