5220001530.0;-43.82
0x0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F;5230001530.0;-40.21
0xFFFFFFFFFFFFFFFF0000000000000000FFFFFFFFFFFFFFFF0000000000000000;5230001530.0;-40.31
0x0000000000000000FFFFFFFFFFFFFFFF0000000000000000FFFFFFFFFFFFFFFF;5230001530.0;-43.85
0x3A7B2F4C6E8D1F0A2C4E6B8D1F2A3B5C7E9F0A2B4C6E8F1A3B5C7E9F0A2B4C6D;5230001530.0;-40.99
0x9F8D6B5A3C2E1D0F9B7A5C3E1D0F9B7A5C3E1D0F9B7A5C3E1D0F9B7A5C3E1D0F;5230001530.0;-39.03
0xD3E7F0A2B4C6E8D1F2A3B5C7E9F0A2B4C6E8D1F2A3B5C7E9F0A2B4C6E8D1F28C;5230001530.0;-39.02
0x5A3C2E1D0F9B7A5C3E1D0F9B7A5C3E1D0F9B7A5C3E1D0F9B7A5C3E1D0F9B7AB3;5230001530.0;-40.39
0XFFFFFFFF00000000FFFFFFFF00000000FFFFFFFF00000000FFFFFFFF00000000;5230001530.0;-40.21
0XCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC;5230001530.0;-40.30
0XAAAA5555AAAA5555AAAA5555AAAA5555AAAA5555AAAA5555AAAA5555AAAA5555;5230001530.0;-41.83
0XCCCCCCCC33333333CCCCCCCC33333333CCCCCCCC33333333CCCCCCCC33333333;5230001530.0;-42.14
0X00007FFE40025FFA500A57EA542A55AA55AA542A57EA500A5FFA40027FFE0000;5230001530.0;-42.73
0X000000003FFC3FFC300C300C33CC33CC33CC33CC300C300C3FFC3FFC00000000;5230001530.0;-42.14
0x0000000000000000000000000000000000000000000000000000000000000000;5240001530.0;-40.72
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF;5240001530.0;-39.22
0x8000000000000000000000000000000000000000000000000000000000000000;5240001530.0;-39.34
0x0000000000000000000000000000000000000000000000000000000000000001;5240001530.0;-40.80
0xFF00FF00FF00FF00FF00FF00FF00FF00FF00FF00FF00FF00FF00FF00FF00FF00;5240001530.0;-41.06
0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF00000000000000000000000000000000;5240001530.0;-41.36
