VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[3.  2.5 2.  1.5 1. ]
POINST TOTAL =  2112 Point Range =  132
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 2112 swtcnt: 1
Measurement time: 1.156 s
PAT:  000000000000000000000000000000000787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -60.55635506766183
PAT:  00000000000000000000000000000000c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -60.48571201246612
PAT:  00000000000000000000000000000007c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -60.105573459547394
PAT:  00000000000000000000000000000087c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -60.13622011457171
PAT:  00000000000000000000000000000787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -59.88710675920759
PAT:  00000000000000000000000000008787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -59.80465013153699
PAT:  00000000000000000000000000078787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -59.51535057534977
PAT:  00000000000000000000000000878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -59.49907396277603
PAT:  00000000000000000000000007878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -59.29201772261639
PAT:  000000000000000000000000c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -59.10196888203524
PAT:  000000000000000000000007c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -58.9088689064493
PAT:  0000000000000000000000c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -58.87758387351523
PAT:  0000000000000000000007c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -58.63067222128109
PAT:  00000000000000000000c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -58.51079668317522
PAT:  00000000000000000007c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -58.211775332081075
PAT:  00000000000000000087c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -58.23783975717973
PAT:  00000000000000000787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.87322507585798
PAT:  0000000000000000c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.77602970356844
PAT:  0000000000000007c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.456216228251556
PAT:  0000000000000007c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.46522950152961
PAT:  0000000000000707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.32562497197365
PAT:  0000000000008707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.233845379887796
PAT:  0000000000078707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.129964400310904
PAT:  0000000000c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -57.04599699682119
PAT:  0000000006c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.971774899229715
PAT:  00000000c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.81913632762675
PAT:  00000003c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.73182693792849
PAT:  00000083c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.6608998824139
PAT:  00000783c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.43306817813795
PAT:  0000c783c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.28467855648119
PAT:  0007c783c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.12217790253308
PAT:  0087c783c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -56.18103253111548
PAT:  0687c783c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -55.95988145166514
PAT:  8687c783c6c78707c787c7c7c7878787c787c787c6c7c783c782c7e3e783c7c3 POW MAX:  -55.871889698262116
POINST TOTAL =  1408 Point Range =  88
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1408 swtcnt: 1
Measurement time: 0.804 s
